Time to failure, Number of defective sites, Fraction of defect
0.11950720040156253, 1881, 0.15048
0.10846427215144373, 1753, 0.14024
0.13278554364182568, 2112, 0.16896
0.13966505600754708, 2130, 0.1704
0.14829448498613992, 2287, 0.18296
0.1328446990135779, 2176, 0.17408
0.12071445484841402, 1978, 0.15824
0.14163045188122433, 2266, 0.18128
0.11898719143396477, 1884, 0.15072
0.11780884588996643, 1842, 0.14736
0.07338303888542529, 1259, 0.10072
0.10969669319710054, 1734, 0.13872
0.11440962656949, 1901, 0.15208
0.14200198102219383, 2256, 0.18048
0.14638641637769798, 2227, 0.17816
0.13284852496269572, 2150, 0.172
0.1366844760484501, 2174, 0.17392
0.09140648612647115, 1506, 0.12048
0.074796407345929, 1244, 0.09952
0.10100479099438943, 1643, 0.13144
0.0772073957600401, 1273, 0.10184
0.031081592928701798, 489, 0.03912
0.06707709806951612, 1148, 0.09184
0.10415860441504166, 1677, 0.13416
0.09393301932273389, 1598, 0.12784
0.12759680418125957, 2094, 0.16752
0.07765046467460757, 1230, 0.0984
0.12117499126515464, 1969, 0.15752
0.10689687362741755, 1706, 0.13648
0.05826958406732712, 960, 0.0768
0.08991395211604565, 1516, 0.12128
0.0695493595428522, 1164, 0.09312
0.15774961068794338, 2406, 0.19248
0.08935128869161653, 1445, 0.1156
0.1244396931214262, 1981, 0.15848
0.12230815488866777, 1938, 0.15504
0.09854923944628602, 1595, 0.1276
0.132133447653592, 2022, 0.16176
0.1256155943082377, 2072, 0.16576
0.14674099546152758, 2238, 0.17904
0.12248780005845969, 1925, 0.154
0.08601403458227976, 1397, 0.11176
0.09061136544856105, 1531, 0.12248
0.11181564895606465, 1810, 0.1448
0.16163868161889927, 2547, 0.20376
0.11380108718325144, 1800, 0.144
0.09178104498201964, 1556, 0.12448
0.06837145754173293, 1167, 0.09336
0.08516705750677996, 1422, 0.11376
0.13355412920784301, 2113, 0.16904
0.10594940704150158, 1748, 0.13984
0.12357805661691568, 1951, 0.15608
0.12234321120856445, 1951, 0.15608
0.07354209519767069, 1296, 0.10368
0.0767355117345466, 1225, 0.098
0.12362994840060715, 1931, 0.15448
0.11196401965470322, 1804, 0.14432
0.10311033834533162, 1688, 0.13504
0.12682497901738718, 1984, 0.15872
0.12395672357605798, 2028, 0.16224
0.13628476908401913, 2188, 0.17504
0.11048891716208036, 1820, 0.1456
0.11826833598700683, 1874, 0.14992
0.10711665641637222, 1692, 0.13536
0.053651030376745935, 924, 0.07392
0.12310104941102826, 1984, 0.15872
0.10763810505304665, 1795, 0.1436
0.13165524909388596, 2039, 0.16312
0.11585214485001369, 1781, 0.14248
0.09342176332489037, 1484, 0.11872
0.11293079544417628, 1845, 0.1476
0.11825785924828836, 1954, 0.15632
0.15578707563225666, 2463, 0.19704
0.11363534478809212, 1814, 0.14512
0.12436614250338292, 1993, 0.15944
0.14258834458155603, 2223, 0.17784
0.1498898719230794, 2360, 0.1888
0.11970766544717562, 1902, 0.15216
0.07918729766634588, 1309, 0.10472
0.10525378718958141, 1722, 0.13776
0.14414064619764105, 2290, 0.1832
0.11138108779706118, 1861, 0.14888
0.06082174679648771, 1033, 0.08264
0.10067574126020959, 1675, 0.134
0.10335290967127296, 1637, 0.13096
0.08919384411014981, 1437, 0.11496
0.1298733241960189, 2139, 0.17112
0.08172844309967744, 1318, 0.10544
0.11190338529910153, 1770, 0.1416
0.15123232568727685, 2398, 0.19184
0.12937131866164103, 2040, 0.1632
0.06962713940486659, 1135, 0.0908
0.10004711009619252, 1619, 0.12952
0.08826172341893176, 1474, 0.11792
0.06221414377048398, 1055, 0.0844
0.12971207872566837, 2020, 0.1616
0.1464091152064618, 2294, 0.18352
0.08276442705559026, 1384, 0.11072
0.07973632811661874, 1346, 0.10768
0.12463647521599631, 2004, 0.16032
