Time to failure, Number of defective sites, Fraction of defect
0.009790927061439147, 858, 0.06864
0.008952522075402002, 739, 0.05912
0.0047883377815998345, 434, 0.03472
0.00784525774560965, 680, 0.0544
0.009430656376545972, 773, 0.06184
0.009556204169013174, 779, 0.06232
0.008455624899367485, 720, 0.0576
0.01235904183314559, 979, 0.07832
0.00710371554059488, 590, 0.0472
0.007078847552886397, 594, 0.04752
0.008308339738581947, 766, 0.06128
0.009732672589751001, 833, 0.06664
0.007241774764241145, 664, 0.05312
0.009418230958842656, 818, 0.06544
0.009918279962994152, 802, 0.06416
0.005195366482781598, 474, 0.03792
0.00871064618479411, 715, 0.0572
0.006898571181915608, 661, 0.05288
0.011362972734495047, 950, 0.076
0.011192970101701909, 882, 0.07056
0.0075404013106677254, 654, 0.05232
0.0037239845503912153, 323, 0.02584
0.009573803821099156, 800, 0.064
0.008656401059212013, 735, 0.0588
0.003853892269662912, 334, 0.02672
0.008567808328632893, 704, 0.05632
0.00892804414510712, 716, 0.05728
0.00469508283353961, 431, 0.03448
0.007672507042361425, 622, 0.04976
0.00425317372561943, 349, 0.02792
0.008232602507312437, 663, 0.05304
0.01235588000672557, 1043, 0.08344
0.009543800249814481, 809, 0.06472
0.005916827460342519, 533, 0.04264
0.007765874034512688, 680, 0.0544
0.007780991407988781, 670, 0.0536
0.013058906992444712, 1009, 0.08072
0.009323719232133779, 804, 0.06432
0.005837913146671306, 506, 0.04048
0.009569946759495917, 822, 0.06576
0.008986898974665697, 736, 0.05888
0.010101054839821457, 833, 0.06664
0.009822554590465873, 849, 0.06792
0.010092540716987118, 846, 0.06768
0.007430104722883506, 680, 0.0544
0.007731421631378431, 610, 0.0488
0.012781183230205388, 1048, 0.08384
0.007123407052466414, 593, 0.04744
0.010049290971715997, 862, 0.06896
0.006827450154228276, 578, 0.04624
0.0112309364549614, 913, 0.07304
0.00831908108195562, 687, 0.05496
0.004328610357822464, 403, 0.03224
0.007455661853547005, 642, 0.05136
0.004120516773965391, 353, 0.02824
0.007167806403839331, 594, 0.04752
0.0074492266447911334, 650, 0.052
0.006045285412652141, 530, 0.0424
0.0071908309665139935, 651, 0.05208
0.005133386640046689, 426, 0.03408
0.005725130393074427, 473, 0.03784
0.01323051577438139, 1078, 0.08624
0.0034684969540090694, 298, 0.02384
0.007489352153795571, 630, 0.0504
0.007684800139443431, 650, 0.052
0.0041868931687813, 354, 0.02832
0.008191914586863646, 719, 0.05752
0.006941829027247216, 562, 0.04496
0.005753191698820386, 522, 0.04176
0.010268710240749417, 893, 0.07144
0.0036475962237518434, 328, 0.02624
0.010052445026107793, 825, 0.066
0.01036380493175482, 863, 0.06904
0.0068087278671656315, 592, 0.04736
0.009013080222552346, 764, 0.06112
0.010561944844266915, 870, 0.0696
0.007393797280776207, 617, 0.04936
0.0037307473043666464, 325, 0.026
0.0024037446274879034, 230, 0.0184
0.007261151561286136, 616, 0.04928
0.008596574232549867, 696, 0.05568
