Time to failure, Number of defective sites, Fraction of defect
0.020819213854047326, 778, 0.051866666666666665
0.0129896702602508, 496, 0.03306666666666667
0.01799150649767641, 720, 0.048
0.021856420343535354, 883, 0.058866666666666664
0.016763688835177693, 688, 0.04586666666666667
0.008928991606955981, 338, 0.022533333333333332
0.02285573478368113, 907, 0.06046666666666667
0.016688836086826253, 654, 0.0436
0.021959729009235623, 872, 0.058133333333333335
0.012344515016047206, 465, 0.031
0.017091998210063252, 666, 0.0444
0.008766016014455076, 361, 0.024066666666666667
0.015400400664416851, 638, 0.04253333333333333
0.025959356330817408, 1001, 0.06673333333333334
0.017218912722790407, 662, 0.04413333333333333
0.015964796865632947, 622, 0.041466666666666666
0.023069480223089082, 916, 0.061066666666666665
0.01941427062842537, 758, 0.05053333333333333
0.020826958837491, 822, 0.0548
0.017646313243106553, 705, 0.047
0.013940136291985861, 545, 0.036333333333333336
0.02281496244624678, 878, 0.05853333333333333
0.021160197458357236, 881, 0.05873333333333333
0.015633546113335884, 587, 0.03913333333333333
0.011790808929700695, 504, 0.0336
0.01953396868357502, 797, 0.05313333333333333
0.020998219975994364, 825, 0.055
0.012015509109496635, 494, 0.032933333333333335
0.02400509080602461, 946, 0.06306666666666666
0.013577571867239794, 572, 0.03813333333333333
0.018953779171955693, 767, 0.051133333333333336
0.014184849137533746, 590, 0.03933333333333333
0.012916555283672602, 542, 0.03613333333333334
0.017522879315024605, 620, 0.04133333333333333
0.015619411194604088, 665, 0.044333333333333336
0.021738044702941488, 870, 0.058
0.015166127477711242, 610, 0.04066666666666666
0.011142456729382362, 444, 0.0296
0.013610515612688195, 534, 0.0356
0.018273129370306597, 732, 0.0488
0.019049382481076804, 758, 0.05053333333333333
0.01501688602816748, 588, 0.0392
0.018540818857440296, 702, 0.0468
0.01923969716858608, 797, 0.05313333333333333
0.013362775290407662, 547, 0.03646666666666667
0.014355523503867776, 607, 0.040466666666666665
0.015129614281159325, 582, 0.0388
0.013736069389679464, 560, 0.037333333333333336
0.014497162620753313, 551, 0.03673333333333333
0.013981055480322559, 572, 0.03813333333333333
0.009843680901810996, 426, 0.0284
0.017989766299630762, 661, 0.044066666666666664
0.014499237874909051, 553, 0.036866666666666666
0.02229220342846972, 835, 0.05566666666666667
0.02081529827480705, 804, 0.0536
0.021223320353490692, 857, 0.057133333333333335
0.01738836286182694, 668, 0.044533333333333334
0.015472170763857674, 611, 0.04073333333333334
0.023490123163319977, 907, 0.06046666666666667
0.018858039010729997, 718, 0.04786666666666667
0.014962237515325223, 624, 0.0416
0.02038111894806009, 767, 0.051133333333333336
0.018559344719969968, 702, 0.0468
0.01891540027984545, 750, 0.05
0.019832230781386673, 773, 0.051533333333333334
0.014461780673691044, 547, 0.03646666666666667
0.012512778020051301, 517, 0.034466666666666666
0.01524233554900482, 601, 0.04006666666666667
0.022108813348699127, 883, 0.058866666666666664
0.022196734225795395, 905, 0.060333333333333336
0.017198053888779263, 695, 0.04633333333333333
0.018028788289718663, 684, 0.0456
0.020607281886581705, 783, 0.0522
0.01480234883348941, 584, 0.038933333333333334
0.015141274057843986, 616, 0.04106666666666667
0.011654878038061938, 457, 0.030466666666666666
0.013855547243287043, 546, 0.0364
0.01652796918428519, 633, 0.0422
0.018234984090109697, 706, 0.047066666666666666
0.016979826878697993, 670, 0.04466666666666667
0.01690262966969129, 662, 0.04413333333333333
0.017739882840441482, 686, 0.045733333333333334
0.020940269984106422, 796, 0.053066666666666665
0.014031786519901487, 571, 0.038066666666666665
0.020329267615940397, 817, 0.05446666666666666
0.01801645728592263, 706, 0.047066666666666666
0.01979632662291473, 766, 0.05106666666666667
0.017506943445619202, 733, 0.04886666666666667
0.018180792054773128, 693, 0.0462
0.019630725956847388, 795, 0.053
0.009242187117206693, 377, 0.025133333333333334
0.020481717313358943, 775, 0.051666666666666666
0.018328115344417487, 811, 0.054066666666666666
0.01806693024125484, 717, 0.0478
0.018609311990090402, 763, 0.050866666666666664
0.008126971509805823, 336, 0.0224
0.015266449116906774, 590, 0.03933333333333333
0.01854908736790902, 729, 0.0486
0.013083186644531472, 556, 0.037066666666666664
0.017102057324455473, 721, 0.04806666666666667
0.024594726161120177, 985, 0.06566666666666666
0.01969375669385722, 785, 0.052333333333333336
