Time to failure, Number of defective sites, Fraction of defect
0.036688427864627844, 1827, 0.14616
0.05529200958998728, 2692, 0.21536
0.06381723096065743, 2987, 0.23896
0.0321348955468541, 1650, 0.132
0.03918308868064763, 1980, 0.1584
0.03479212412544142, 1719, 0.13752
0.04935170113195212, 2396, 0.19168
0.0325961854818569, 1607, 0.12856
0.036134641165202784, 1782, 0.14256
0.03916481952781655, 1919, 0.15352
0.021450172230340382, 1128, 0.09024
0.0370581592033746, 1812, 0.14496
0.05348622589731423, 2513, 0.20104
0.04282241873902729, 2084, 0.16672
0.04065580120476004, 2010, 0.1608
0.034434433466344415, 1699, 0.13592
0.05024778165116202, 2424, 0.19392
0.05228603795028648, 2382, 0.19056
0.046925888660002954, 2283, 0.18264
0.05480896545641725, 2539, 0.20312
0.04299350244394066, 2063, 0.16504
0.043010508008483224, 2180, 0.1744
0.04038040973685318, 2030, 0.1624
0.05199066738001235, 2470, 0.1976
0.046854939389918325, 2295, 0.1836
0.03181079252450986, 1605, 0.1284
0.02665680970992662, 1359, 0.10872
0.05097948019774829, 2526, 0.20208
0.048865349368108664, 2360, 0.1888
0.030534645709130254, 1563, 0.12504
0.031368872984875985, 1542, 0.12336
0.028786134184675814, 1485, 0.1188
0.059442364097279224, 2849, 0.22792
0.05400933389289278, 2567, 0.20536
0.046666109201371264, 2263, 0.18104
0.0505532223204449, 2396, 0.19168
0.03770571019629434, 1826, 0.14608
0.03375700327689425, 1694, 0.13552
0.05374125635749882, 2543, 0.20344
0.049858515316768784, 2416, 0.19328
0.044117146568216255, 2139, 0.17112
0.04502297514349352, 2187, 0.17496
0.03928503115861491, 1954, 0.15632
0.041674895515816476, 2115, 0.1692
0.05434770304099178, 2613, 0.20904
0.025429040478962626, 1314, 0.10512
0.047544767738482596, 2293, 0.18344
0.04952985851843519, 2418, 0.19344
0.06515689200557731, 3006, 0.24048
0.05553355736206029, 2645, 0.2116
0.0501105533008842, 2437, 0.19496
0.037446084505771804, 1829, 0.14632
0.03058406691915252, 1578, 0.12624
0.05418416954369624, 2575, 0.206
0.03494664298279194, 1746, 0.13968
0.0550759307908387, 2584, 0.20672
0.046829697298518345, 2321, 0.18568
0.05545929269158288, 2587, 0.20696
0.0558988754903321, 2576, 0.20608
0.042948802342322054, 2026, 0.16208
