Time to failure, Number of defective sites, Fraction of defect
0.1467180684469222, 2344, 0.18752
0.08104809320627984, 1282, 0.10256
0.1311772356871753, 2059, 0.16472
0.13506041602579147, 2166, 0.17328
0.13041228971126612, 1928, 0.15424
0.08881323206413787, 1448, 0.11584
0.11184639897269333, 1799, 0.14392
0.1186577112035193, 1917, 0.15336
0.11038126512662173, 1747, 0.13976
0.12131479468272431, 1963, 0.15704
0.1062606947290937, 1744, 0.13952
0.1127980583137267, 1810, 0.1448
0.1036288894132165, 1633, 0.13064
0.14564609258946443, 2295, 0.1836
0.09374655497909154, 1499, 0.11992
0.10798431060469992, 1762, 0.14096
0.11617787592465116, 1831, 0.14648
0.09940172462213188, 1680, 0.1344
0.11746835770976076, 1891, 0.15128
0.0940439981942611, 1490, 0.1192
0.08627584997959652, 1468, 0.11744
0.13146274491713997, 2088, 0.16704
0.0996028891033966, 1637, 0.13096
0.09684982663639206, 1622, 0.12976
0.12642476542173675, 2007, 0.16056
0.14096792820097842, 2215, 0.1772
0.0777685547644329, 1288, 0.10304
0.145213091907926, 2285, 0.1828
0.11196779416039099, 1851, 0.14808
0.13302742849404425, 2147, 0.17176
0.10343835962951027, 1710, 0.1368
0.11061438741288282, 1823, 0.14584
0.11235994386749111, 1813, 0.14504
