Time to failure, Number of defective sites, Fraction of defect
0.07408819406082348, 1449, 0.11592
0.08578766195212656, 1601, 0.12808
0.0745118878973656, 1475, 0.118
0.08280258300448641, 1551, 0.12408
0.08811647438839995, 1714, 0.13712
0.11624538221151122, 2161, 0.17288
0.09375633621235185, 1878, 0.15024
0.08976378727432467, 1736, 0.13888
0.12677681783438965, 2367, 0.18936
0.1002056396523398, 1855, 0.1484
0.10216413029900424, 1923, 0.15384
0.06081674128813568, 1142, 0.09136
0.07007552275635164, 1462, 0.11696
0.04790182184637204, 939, 0.07512
0.0937114333245794, 1814, 0.14512
0.08753808020135552, 1646, 0.13168
0.05014603143186089, 1009, 0.08072
0.12248427458789822, 2278, 0.18224
0.10766487828276919, 2068, 0.16544
0.052395308725272455, 1112, 0.08896
0.07774527345769268, 1537, 0.12296
0.07330744098817406, 1476, 0.11808
0.09111309970140745, 1708, 0.13664
0.11670571174467681, 2187, 0.17496
0.07602554981135518, 1443, 0.11544
0.05892152377761539, 1168, 0.09344
0.07709147812738895, 1508, 0.12064
0.0677464393996693, 1329, 0.10632
0.0931436706096225, 1789, 0.14312
0.11165638617566291, 2116, 0.16928
0.08021497736627949, 1504, 0.12032
0.11613192362755193, 2162, 0.17296
0.07329418247876143, 1430, 0.1144
0.09593268035770787, 1817, 0.14536
0.12249535268126585, 2275, 0.182
0.11649083466852542, 2217, 0.17736
0.0831512224643711, 1618, 0.12944
0.08205149690521392, 1608, 0.12864
0.0949345754521178, 1826, 0.14608
0.08806102854888755, 1704, 0.13632
0.11602692106460517, 2174, 0.17392
0.11385276302389236, 2091, 0.16728
0.07168451769538957, 1369, 0.10952
0.11581732484877406, 2144, 0.17152
0.08277945556095215, 1517, 0.12136
0.0958619502220768, 1772, 0.14176
0.11119687293528968, 2145, 0.1716
0.09247423408387467, 1836, 0.14688
0.07914538416285215, 1535, 0.1228
0.086361491246193, 1611, 0.12888
0.05605903560293632, 1082, 0.08656
0.08699513419695054, 1669, 0.13352
0.06984940399506928, 1417, 0.11336
0.1250349834923703, 2334, 0.18672
0.09907925426103771, 1857, 0.14856
0.10590797523652838, 2017, 0.16136
0.07514470159543798, 1435, 0.1148
0.10974830119366101, 2007, 0.16056
0.05753996217839596, 1145, 0.0916
0.10223090488061555, 1986, 0.15888
0.08588656414077814, 1652, 0.13216
0.08426901861982679, 1656, 0.13248
0.0672380919807511, 1329, 0.10632
0.11305024420549456, 2155, 0.1724
