Time to failure, Number of defective sites, Fraction of defect
0.025155040740327476, 1647, 0.06588
0.027425218245275912, 1759, 0.07036
0.02995532654531615, 1967, 0.07868
0.02523783848622415, 1650, 0.066
0.02436284837677974, 1554, 0.06216
0.027304796916780134, 1840, 0.0736
0.021894005461030958, 1504, 0.06016
0.024389766762820394, 1649, 0.06596
0.029646317601531146, 1902, 0.07608
0.022759965075936126, 1495, 0.0598
0.01892063465791885, 1326, 0.05304
0.02460048841460665, 1613, 0.06452
0.0216092329079783, 1406, 0.05624
0.028134537552819187, 1821, 0.07284
0.024835576409820787, 1708, 0.06832
0.027146193428291065, 1860, 0.0744
0.021309250879484973, 1443, 0.05772
0.02441068274897921, 1570, 0.0628
0.025209679556160366, 1584, 0.06336
0.022140017857265236, 1444, 0.05776
0.024019095974741236, 1625, 0.065
0.025499595032308163, 1663, 0.06652
0.030287414241557214, 2051, 0.08204
0.025993890630374702, 1683, 0.06732
0.024607074200467382, 1578, 0.06312
0.024594807265352847, 1639, 0.06556
0.030990977401833417, 2035, 0.0814
0.026858363325741288, 1737, 0.06948
0.02481093602662894, 1669, 0.06676
0.027073502338629398, 1768, 0.07072
0.03149296011397468, 1982, 0.07928
0.027787463178831812, 1841, 0.07364
0.024761884795608837, 1652, 0.06608
0.02352924242227423, 1529, 0.06116
0.02995568040922416, 1906, 0.07624
0.02550364930517126, 1708, 0.06832
0.028082355001326095, 1824, 0.07296
0.022128606278546653, 1492, 0.05968
0.022046560535609515, 1428, 0.05712
0.02801524084971412, 1825, 0.073
0.026271419457842032, 1767, 0.07068
0.027371934524336942, 1764, 0.07056
0.02332609426453237, 1599, 0.06396
0.02144042758717991, 1383, 0.05532
0.02671645474399541, 1698, 0.06792
0.028789172658183065, 1875, 0.075
0.025873829707787226, 1753, 0.07012
0.023330067826393002, 1507, 0.06028
0.019926291163418312, 1342, 0.05368
0.025482087129793676, 1694, 0.06776
0.023336590093785536, 1579, 0.06316
0.026535992474804638, 1728, 0.06912
0.021871254747690628, 1465, 0.0586
0.018639226366763056, 1257, 0.05028
0.027877321522801295, 1798, 0.07192
