Time to failure, Number of defective sites, Fraction of defect
0.06272787397112425, 1997, 0.15976
0.055549589568023805, 1696, 0.13568
0.06875794465442026, 2102, 0.16816
0.086274829618442, 2661, 0.21288
0.055532958064766, 1757, 0.14056
0.07629797434732813, 2255, 0.1804
0.051562954204423805, 1643, 0.13144
0.04780619182876032, 1563, 0.12504
0.07835525663425132, 2439, 0.19512
0.04712324614054211, 1550, 0.124
0.053594426014598406, 1741, 0.13928
0.04662717278067981, 1465, 0.1172
0.06309171817994975, 1907, 0.15256
0.06805704346767741, 2097, 0.16776
0.061540595193805545, 1861, 0.14888
0.052304349218335, 1629, 0.13032
0.05166824678185611, 1653, 0.13224
0.07049037274804226, 2144, 0.17152
0.07255873576806934, 2200, 0.176
0.04844334250321759, 1504, 0.12032
0.06065080324710186, 1875, 0.15
0.05516024485032752, 1726, 0.13808
0.07018965235933751, 2234, 0.17872
0.06186848554167082, 1893, 0.15144
0.054241072569934864, 1816, 0.14528
0.05359472890183892, 1690, 0.1352
0.03656876499533004, 1180, 0.0944
0.06335726025888651, 1986, 0.15888
0.05776697940735611, 1820, 0.1456
0.05718112213087593, 1794, 0.14352
0.036856343084454804, 1191, 0.09528
0.050184911931813715, 1523, 0.12184
0.057986271739175685, 1787, 0.14296
0.06857047779002112, 2084, 0.16672
0.036055679856087736, 1173, 0.09384
0.057856651450881, 1853, 0.14824
0.059434397752534854, 1874, 0.14992
0.06318907212805067, 1944, 0.15552
0.03147336582580258, 1045, 0.0836
0.04706639959938111, 1514, 0.12112
0.040127765752008146, 1306, 0.10448
0.08149019158920554, 2488, 0.19904
0.059677953053672884, 1938, 0.15504
0.06893106712842388, 2084, 0.16672
0.06613564427629265, 1993, 0.15944
0.04899192927603612, 1582, 0.12656
0.07576506822121779, 2297, 0.18376
0.06984279416108334, 2134, 0.17072
0.062200482474430024, 1939, 0.15512
0.057196528751163635, 1826, 0.14608
0.04992969619981026, 1635, 0.1308
0.05814500882201905, 1886, 0.15088
0.07179608153227234, 2195, 0.1756
0.047913036947144445, 1533, 0.12264
0.06482048651002599, 2012, 0.16096
0.05317191287279635, 1683, 0.13464
0.057492325431399836, 1784, 0.14272
0.059140280691677954, 1854, 0.14832
0.0453288687247877, 1443, 0.11544
0.05816792143077032, 1877, 0.15016
0.0648980931215619, 2029, 0.16232
0.07864323397713302, 2364, 0.18912
0.05089566099280919, 1605, 0.1284
0.0498283559522994, 1604, 0.12832
0.07669131050095844, 2325, 0.186
0.06851904719694007, 2209, 0.17672
0.04977378134404028, 1586, 0.12688
0.06777835089965753, 2131, 0.17048
0.05035533870736493, 1576, 0.12608
0.06671944144456537, 2051, 0.16408
0.07061378103635094, 2165, 0.1732
0.04619590317752278, 1463, 0.11704
0.06133169451125382, 1925, 0.154
0.027890763124811858, 897, 0.07176
0.07023445922974586, 2173, 0.17384
0.06536498507319678, 2022, 0.16176
0.04111315750738339, 1381, 0.11048
0.04971605622672406, 1572, 0.12576
