Time to failure, Number of defective sites, Fraction of defect
0.04989248832795329, 1626, 0.13008
0.06439147844251131, 1969, 0.15752
0.059043582235798114, 1833, 0.14664
0.062286467426311526, 1988, 0.15904
0.05815413024580296, 1830, 0.1464
0.034083762604273614, 1126, 0.09008
0.05114009982988829, 1604, 0.12832
0.06664476669434992, 2058, 0.16464
0.041588694078819266, 1339, 0.10712
0.051754226059891335, 1617, 0.12936
0.05459668931153068, 1750, 0.14
0.054118025308140236, 1715, 0.1372
0.07093237848099197, 2201, 0.17608
0.0665551255520583, 2003, 0.16024
0.05922151619629624, 1870, 0.1496
0.06942833428306508, 2120, 0.1696
0.05990631961941934, 1888, 0.15104
0.06780875801848513, 2073, 0.16584
0.048391372947715214, 1531, 0.12248
0.0591647382728695, 1880, 0.1504
0.04126947165202038, 1356, 0.10848
0.06599784094281619, 2045, 0.1636
0.05291051850076081, 1713, 0.13704
0.05507460628402075, 1639, 0.13112
0.06555706251659629, 2087, 0.16696
0.05953064830298076, 1842, 0.14736
0.05603565802598801, 1781, 0.14248
0.06543717250767826, 2011, 0.16088
0.048332349365345806, 1490, 0.1192
0.054654502621807724, 1713, 0.13704
0.0560466226603089, 1780, 0.1424
0.06401478354569239, 2032, 0.16256
0.0666003137973303, 2065, 0.1652
0.05729631671404397, 1836, 0.14688
0.057688599040253884, 1862, 0.14896
0.05766895438127149, 1785, 0.1428
0.042182396850692, 1285, 0.1028
0.06893649260430675, 2104, 0.16832
0.055795954045422765, 1789, 0.14312
0.06129397879144755, 1907, 0.15256
0.07182505499522644, 2208, 0.17664
0.05968855479689366, 1911, 0.15288
0.05928571401975417, 1887, 0.15096
0.05710063442314909, 1849, 0.14792
0.02624818216101195, 847, 0.06776
0.07267964511346067, 2236, 0.17888
0.04053847044018122, 1291, 0.10328
0.062121379129389045, 2012, 0.16096
0.056419971222424356, 1777, 0.14216
0.049652831235715816, 1585, 0.1268
