Time to failure, Number of defective sites, Fraction of defect
0.005993346013728765, 1226, 0.09808
0.00578135123316016, 1151, 0.09208
0.01295285403094085, 2357, 0.18856
0.005638847863222555, 1143, 0.09144
0.007508875893453599, 1501, 0.12008
0.0061378609974828795, 1242, 0.09936
0.006889233039896096, 1365, 0.1092
0.004470844545992719, 938, 0.07504
0.0062214404015645715, 1270, 0.1016
0.004806440520812433, 985, 0.0788
0.009138983503277357, 1764, 0.14112
0.0063347751141243185, 1266, 0.10128
0.008919146399781027, 1725, 0.138
0.009476953255479377, 1844, 0.14752
0.006209917488496465, 1305, 0.1044
0.003627341984620806, 796, 0.06368
0.011260862772698539, 2074, 0.16592
0.004101702230345312, 861, 0.06888
0.006040553338004879, 1183, 0.09464
0.005172038523600835, 1059, 0.08472
0.011693635076925635, 2157, 0.17256
0.004180844263435262, 909, 0.07272
0.007064483659207907, 1366, 0.10928
0.008598986957845065, 1619, 0.12952
0.008090035012678177, 1576, 0.12608
0.008048072894257288, 1544, 0.12352
0.004289649462866065, 940, 0.0752
0.0026066477023312423, 534, 0.04272
0.008326838359072566, 1605, 0.1284
0.008030745061486681, 1446, 0.11568
0.004752217484485908, 960, 0.0768
0.0030364489339334945, 669, 0.05352
0.008175100424631066, 1579, 0.12632
0.006877894653658292, 1366, 0.10928
0.011180530172145898, 2029, 0.16232
0.009037597377588422, 1744, 0.13952
0.005185923589338894, 1078, 0.08624
0.00547033331305836, 1122, 0.08976
0.0034855635481543714, 760, 0.0608
0.005977300057317864, 1198, 0.09584
0.0034600667055639856, 724, 0.05792
0.0029625931991865634, 643, 0.05144
0.00685366022083908, 1389, 0.11112
0.008917647388586587, 1667, 0.13336
0.00429833609575336, 909, 0.07272
0.009499023081566095, 1766, 0.14128
0.0025343676359650003, 535, 0.0428
0.008608915880233601, 1588, 0.12704
0.004233877190967849, 886, 0.07088
0.0043649845309156245, 926, 0.07408
0.008179307521984903, 1568, 0.12544
0.007608634655833275, 1491, 0.11928
0.00603385639890876, 1250, 0.1
0.004746971364411585, 989, 0.07912
0.003487467029890155, 750, 0.06
0.002966429376504074, 629, 0.05032
0.007432702408260584, 1397, 0.11176
0.008471028887508978, 1617, 0.12936
0.003999168085738654, 802, 0.06416
0.007894004490297332, 1585, 0.1268
0.010378627045771926, 1945, 0.1556
0.008083318955964642, 1554, 0.12432
0.004437868298623799, 914, 0.07312
0.010686440333503435, 1995, 0.1596
0.004724269477942356, 927, 0.07416
0.008948108144662195, 1643, 0.13144
0.01146938398826107, 2086, 0.16688
0.007294907861464093, 1420, 0.1136
0.007633910697056434, 1442, 0.11536
0.0027420868351930704, 601, 0.04808
0.00483890129207213, 1058, 0.08464
0.005635610858747334, 1154, 0.09232
0.007041388254274405, 1327, 0.10616
0.007865244728876827, 1499, 0.11992
0.010243690552545206, 1929, 0.15432
0.006056174184457883, 1149, 0.09192
0.008034954593039677, 1561, 0.12488
0.0116420286482183, 2014, 0.16112
0.012182151884369323, 2184, 0.17472
0.0031544737231116735, 637, 0.05096
0.0058528861929200435, 1206, 0.09648
0.006356939669969284, 1266, 0.10128
0.003894194219593718, 824, 0.06592
0.0048788517247115104, 1007, 0.08056
0.009415847624524592, 1756, 0.14048
0.00554474023160762, 1172, 0.09376
0.009735273786850029, 1855, 0.1484
0.010577054547628924, 1872, 0.14976
0.007845216194447167, 1515, 0.1212
0.003331740060486574, 683, 0.05464
0.006141424782648755, 1187, 0.09496
0.006329697364832344, 1248, 0.09984
0.004746310329945424, 955, 0.0764
0.010756659844296525, 2020, 0.1616
0.010517593742187156, 1904, 0.15232
0.006736029572329661, 1345, 0.1076
0.0074585623008003735, 1456, 0.11648
0.01121563964894966, 2014, 0.16112
0.007207265919710729, 1446, 0.11568
0.00621541494064319, 1235, 0.0988
0.006682037801878696, 1346, 0.10768
0.007481652637478376, 1509, 0.12072
0.004754872546469664, 1036, 0.08288
0.006170094576908863, 1267, 0.10136
0.0051183044221037675, 1037, 0.08296
0.0058810692323182, 1177, 0.09416
0.003325757420724495, 691, 0.05528
0.004646549251928335, 919, 0.07352
0.0029137643751774404, 627, 0.05016
0.005573605259205327, 1102, 0.08816
0.008276943532213067, 1605, 0.1284
0.009809033581687207, 1823, 0.14584
0.008726492313581078, 1668, 0.13344
0.006460353526807993, 1250, 0.1
0.011416152956021053, 2021, 0.16168
0.0023661116659582588, 555, 0.0444
0.006010978097572297, 1211, 0.09688
0.005984584591914002, 1200, 0.096
0.011187963446605265, 2131, 0.17048
0.006586644848728869, 1289, 0.10312
0.004532848847148038, 969, 0.07752
0.01108066736276177, 2064, 0.16512
0.0053056972193570055, 1091, 0.08728
0.005754440002418865, 1208, 0.09664
0.005189701692669735, 1150, 0.092
0.009220994372240013, 1739, 0.13912
0.004633584553319756, 942, 0.07536
0.005435221509945088, 1150, 0.092
0.004354047526513727, 934, 0.07472
