Time to failure, Number of defective sites, Fraction of defect
0.00597791903987342, 497, 0.0497
0.005524297800080999, 458, 0.0458
0.004659204170252787, 354, 0.0354
0.005294540995650516, 455, 0.0455
0.003407895634004644, 284, 0.0284
0.007071696818448885, 536, 0.0536
0.005425633800874223, 399, 0.0399
0.00527269356805619, 410, 0.041
0.0024845249542575823, 202, 0.0202
0.003844683982830041, 317, 0.0317
0.004322060662369981, 355, 0.0355
0.002694597691682175, 223, 0.0223
0.00407274550204428, 298, 0.0298
0.006116800063576632, 473, 0.0473
0.0058859863115366985, 465, 0.0465
0.004188617681360879, 351, 0.0351
0.0017726787280528185, 135, 0.0135
0.005486827296492563, 388, 0.0388
0.0034843615880595993, 256, 0.0256
0.006300783779702322, 485, 0.0485
0.003059366858580223, 229, 0.0229
0.001149304134555565, 87, 0.0087
0.006424370956669842, 520, 0.052
0.006150383439171331, 489, 0.0489
0.003893408826591968, 297, 0.0297
0.004444819726898749, 340, 0.034
0.004511851217461853, 331, 0.0331
0.005017999512517227, 358, 0.0358
0.003908670481217334, 321, 0.0321
0.00675567316520631, 500, 0.05
0.0034278714291801076, 270, 0.027
0.006092773279635948, 469, 0.0469
0.00376821857090296, 308, 0.0308
0.004255827245730697, 362, 0.0362
0.004514201877897534, 373, 0.0373
0.005636657150439622, 448, 0.0448
0.004318203966974758, 354, 0.0354
0.0016815719050726789, 139, 0.0139
0.004356889383296513, 326, 0.0326
0.0037215173642264755, 312, 0.0312
0.004910812826003582, 378, 0.0378
0.0049905612092433485, 403, 0.0403
0.002691261838968843, 231, 0.0231
0.009256497620095267, 715, 0.0715
0.005616025862163003, 437, 0.0437
0.004244300660179608, 347, 0.0347
0.005101671103183522, 395, 0.0395
0.00621404525901978, 496, 0.0496
0.005568027476726351, 439, 0.0439
0.0035914282354394976, 283, 0.0283
0.006375676159041206, 502, 0.0502
0.002873253379013176, 223, 0.0223
0.004772749713192238, 390, 0.039
0.004842288675152845, 374, 0.0374
0.005611278818635607, 437, 0.0437
0.0052586510913632525, 396, 0.0396
0.005617936632716376, 474, 0.0474
0.004961746939009185, 391, 0.0391
0.0023835650984452197, 201, 0.0201
0.003346638089566183, 251, 0.0251
0.004541163197581699, 328, 0.0328
0.005546941629105469, 423, 0.0423
0.006098354191236875, 468, 0.0468
0.00530752437533833, 391, 0.0391
0.004659964301030472, 398, 0.0398
0.004279798364854072, 355, 0.0355
0.003266987875927941, 259, 0.0259
0.004513601444076463, 345, 0.0345
0.0039087201699645234, 306, 0.0306
0.0052307972291094395, 420, 0.042
0.006867565762000232, 520, 0.052
0.008558368067794498, 640, 0.064
0.004162701048067409, 350, 0.035
0.0055254906983182575, 463, 0.0463
0.006850124512532304, 537, 0.0537
0.005221895616404272, 403, 0.0403
0.0023129625023269626, 187, 0.0187
0.003193509907883902, 272, 0.0272
0.007000923063851675, 514, 0.0514
0.009313977056825948, 776, 0.0776
0.006138728791458981, 482, 0.0482
0.004750672014628195, 344, 0.0344
0.004991783956860987, 427, 0.0427
0.005080140607603365, 419, 0.0419
0.004422858127256817, 332, 0.0332
0.00713125674158859, 560, 0.056
0.004140197480841087, 326, 0.0326
0.006563332652422932, 525, 0.0525
0.006317832781543104, 513, 0.0513
0.005251943360319186, 376, 0.0376
0.006552621287489019, 513, 0.0513
0.007452468106427618, 553, 0.0553
0.005063207660216872, 424, 0.0424
0.0024233669537481323, 216, 0.0216
0.004168249724105759, 314, 0.0314
0.006403014137570453, 492, 0.0492
0.005606317121374435, 448, 0.0448
0.0032380314206538027, 247, 0.0247
0.0016962054496413063, 147, 0.0147
0.004731706427042406, 367, 0.0367
0.005254282685329274, 446, 0.0446
0.00564826403471083, 447, 0.0447
0.004719517746660683, 359, 0.0359
0.004739180113336146, 399, 0.0399
0.003597923711967022, 293, 0.0293
0.004231696917350509, 318, 0.0318
0.006253085606310429, 471, 0.0471
0.006793039412143591, 509, 0.0509
0.00432110635756939, 346, 0.0346
0.006306350522580109, 523, 0.0523
0.005735883181794552, 449, 0.0449
0.004452271705750283, 332, 0.0332
0.00621294043139927, 504, 0.0504
0.005008752516649151, 398, 0.0398
0.007943919831717026, 608, 0.0608
0.005197582467224993, 387, 0.0387
0.007191601207619958, 565, 0.0565
0.00675471576231815, 532, 0.0532
0.006359390443157779, 510, 0.051
0.0035232926986927078, 268, 0.0268
0.00677764537857994, 538, 0.0538
0.004400158987976948, 345, 0.0345
0.002349309739754841, 208, 0.0208
0.004994745638870994, 406, 0.0406
0.006212053571737632, 515, 0.0515
0.007118302341319982, 584, 0.0584
0.004068058160473267, 360, 0.036
0.0069388805380251805, 545, 0.0545
0.00472658193172964, 406, 0.0406
0.004474337348718562, 344, 0.0344
0.00583393702918136, 477, 0.0477
0.006744799808422132, 510, 0.051
0.007084932306122184, 551, 0.0551
0.006520682686840271, 504, 0.0504
0.0029520233979103347, 239, 0.0239
0.007232788349168514, 602, 0.0602
0.002739704550247299, 207, 0.0207
0.00475071621875515, 358, 0.0358
0.001648533584019339, 163, 0.0163
0.004347533130521965, 333, 0.0333
