Time to failure, Number of defective sites, Fraction of defect
0.039315377299187035, 2633, 0.21064
0.03980711891790965, 2660, 0.2128
0.02661991156639341, 1948, 0.15584
0.04980373041989277, 3273, 0.26184
0.03120352807593459, 2234, 0.17872
0.035423091059038556, 2476, 0.19808
0.04767492447105733, 3121, 0.24968
0.03055272979399967, 2142, 0.17136
0.04069883034673845, 2759, 0.22072
0.03932502323601201, 2710, 0.2168
0.04021925398115192, 2727, 0.21816
0.03382408488133189, 2236, 0.17888
0.04963689921770704, 3259, 0.26072
0.03444497446088368, 2375, 0.19
0.04048898875056899, 2657, 0.21256
0.040648999316759096, 2769, 0.22152
0.03387697609749686, 2396, 0.19168
0.028861100557832007, 2002, 0.16016
0.044789262640146835, 2941, 0.23528
0.031091578474928883, 2222, 0.17776
0.02139191539770777, 1624, 0.12992
0.05324725261388684, 3357, 0.26856
0.04106824062335307, 2802, 0.22416
0.03521001658313762, 2354, 0.18832
0.05328921490487932, 3395, 0.2716
0.02889141645827054, 2131, 0.17048
0.03370688323031608, 2320, 0.1856
0.03590524292806749, 2450, 0.196
0.0331595345385223, 2453, 0.19624
0.04647473820533911, 3093, 0.24744
0.03890429829261921, 2608, 0.20864
0.0348293402766918, 2436, 0.19488
0.04095987825573991, 2743, 0.21944
0.040532581031489844, 2749, 0.21992
0.03884522123544747, 2586, 0.20688
0.04257808797607249, 2805, 0.2244
0.035826307778176365, 2421, 0.19368
0.046780473745624176, 3005, 0.2404
0.026068210538025226, 1954, 0.15632
0.03593705745039849, 2404, 0.19232
0.025547663282694345, 1840, 0.1472
0.05838536786219024, 3658, 0.29264
0.022443490732015816, 1701, 0.13608
0.046338336872998855, 2960, 0.2368
0.039303517224416246, 2635, 0.2108
0.023749087693530496, 1752, 0.14016
0.034954245363568025, 2337, 0.18696
0.048768498329509205, 3126, 0.25008
0.03713658418799547, 2565, 0.2052
0.04234582906645042, 2814, 0.22512
0.03369888973452954, 2392, 0.19136
0.04766285021389942, 3016, 0.24128
0.02951046694878757, 2081, 0.16648
0.04359567010302289, 2902, 0.23216
0.03586003222379224, 2506, 0.20048
0.03871460278251751, 2603, 0.20824
0.054945675917846146, 3548, 0.28384
0.03182799026226572, 2260, 0.1808
0.029254204705260415, 2167, 0.17336
0.039580725554860474, 2658, 0.21264
0.04549609461186767, 3052, 0.24416
0.045889710366266226, 3050, 0.244
0.027048859052837156, 1952, 0.15616
0.057901288345109915, 3607, 0.28856
0.04042977427039322, 2703, 0.21624
0.036255156414601565, 2564, 0.20512
0.024403390789853905, 1763, 0.14104
0.027187168376508707, 1975, 0.158
0.042711755320708665, 2858, 0.22864
0.04718357126092916, 3084, 0.24672
0.03724681570331909, 2578, 0.20624
0.03909086945045086, 2655, 0.2124
0.028480642859402817, 2067, 0.16536
0.03910204031092541, 2699, 0.21592
0.03938135026846283, 2595, 0.2076
0.047401837309950935, 3118, 0.24944
0.043485344338190804, 2891, 0.23128
0.04393939389989007, 2963, 0.23704
0.04559202693920367, 2990, 0.2392
0.04959863042213049, 3101, 0.24808
0.0346621124564533, 2436, 0.19488
0.024395318723858268, 1801, 0.14408
0.04657445151336116, 3122, 0.24976
0.025445739768998728, 1795, 0.1436
0.03129533263717055, 2220, 0.1776
0.014021683583298451, 1089, 0.08712
0.032388867600848255, 2192, 0.17536
0.03814007236987353, 2558, 0.20464
0.030214563716913688, 2184, 0.17472
0.03390747438743777, 2425, 0.194
0.04575428318342438, 3014, 0.24112
0.039618292977760906, 2670, 0.2136
0.04552277795026912, 2964, 0.23712
0.03455251785985281, 2397, 0.19176
0.04568997760685897, 3011, 0.24088
0.036388128691775164, 2499, 0.19992
0.0397685037115553, 2716, 0.21728
0.04940695615243296, 3158, 0.25264
0.036741785517885976, 2550, 0.204
0.04934662477357309, 3170, 0.2536
